freq,age,unit,lev_know,deg_urb,geo\TIME_PERIOD,year_2022
A,Y18-24,PC,BASIC,DEG1,AT,0.556
A,Y18-24,PC,BASIC,DEG1,BE,1.468
A,Y18-24,PC,BASIC,DEG1,BG,1.104
A,Y18-24,PC,BASIC,DEG1,CY,0.508
A,Y18-24,PC,BASIC,DEG1,CZ,1.865
A,Y18-24,PC,BASIC,DEG1,DE,0.94
A,Y18-24,PC,BASIC,DEG1,EA20,1.447
A,Y18-24,PC,BASIC,DEG1,EE,0.974
A,Y18-24,PC,BASIC,DEG1,EL,1.049
A,Y18-24,PC,BASIC,DEG1,ES,1.907
A,Y18-24,PC,BASIC,DEG1,EU27_2020,1.413
A,Y18-24,PC,BASIC,DEG1,FR,2.016
A,Y18-24,PC,BASIC,DEG1,HR,0.761
A,Y18-24,PC,BASIC,DEG1,HU,1.337
A,Y18-24,PC,BASIC,DEG1,IE,3.162
A,Y18-24,PC,BASIC,DEG1,IS,0.281
A,Y18-24,PC,BASIC,DEG1,IT,1.715
A,Y18-24,PC,BASIC,DEG1,LV,0.672
A,Y18-24,PC,BASIC,DEG1,MT,3.271
A,Y18-24,PC,BASIC,DEG1,NL,0.576
A,Y18-24,PC,BASIC,DEG1,NO,0.501
A,Y18-24,PC,BASIC,DEG1,PL,1.557
A,Y18-24,PC,BASIC,DEG1,PT,1.886
A,Y18-24,PC,BASIC,DEG1,RO,1.118
A,Y18-24,PC,BASIC,DEG1,SE,0.658
A,Y18-24,PC,BASIC,DEG1,SK,0.672
A,Y18-24,PC,BASIC,DEG2,AT,0.988
A,Y18-24,PC,BASIC,DEG2,BE,1.413
A,Y18-24,PC,BASIC,DEG2,BG,2.901
A,Y18-24,PC,BASIC,DEG2,CY,0.953
A,Y18-24,PC,BASIC,DEG2,CZ,2.263
A,Y18-24,PC,BASIC,DEG2,DE,1.2
A,Y18-24,PC,BASIC,DEG2,EA20,1.886
A,Y18-24,PC,BASIC,DEG2,EL,1.214
A,Y18-24,PC,BASIC,DEG2,ES,2.592
A,Y18-24,PC,BASIC,DEG2,EU27_2020,1.92
A,Y18-24,PC,BASIC,DEG2,FR,3.443
A,Y18-24,PC,BASIC,DEG2,HR,1.399
A,Y18-24,PC,BASIC,DEG2,HU,2.195
A,Y18-24,PC,BASIC,DEG2,IE,3.655
A,Y18-24,PC,BASIC,DEG2,IT,1.845
